data,produto,municipio,tipo,peso,preco
05/01/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 108,00"
06/01/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 108,00"
07/01/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 108,00"
08/01/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 108,00"
09/01/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 108,00"
12/01/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 108,00"
13/01/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 108,00"
14/01/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 108,00"
15/01/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 108,00"
16/01/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 108,00"
19/01/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 108,00"
20/01/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 108,00"
21/01/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 108,00"
22/01/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 108,00"
23/01/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 108,00"
05/01/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
06/01/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
07/01/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
08/01/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
09/01/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
12/01/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
13/01/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
14/01/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
15/01/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
16/01/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
19/01/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
20/01/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
21/01/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
22/01/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
23/01/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
23/02/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
24/02/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
25/02/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
26/02/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
27/02/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
02/03/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
03/03/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
04/03/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
05/03/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
06/03/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 135,00"
09/03/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 111,00"
10/03/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 111,00"
11/03/2015,Abacate,SALVADOR,(comum),cx 30 kg,"R$ 111,00"
12/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
13/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
23/02/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
24/02/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
25/02/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
26/02/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
27/02/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
02/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
03/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
04/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
05/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
06/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
09/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
10/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
11/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
12/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
13/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
16/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
17/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
18/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
19/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
20/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 47,00"
23/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 47,00"
24/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 47,00"
25/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 47,00"
26/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 47,00"
27/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 47,00"
30/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 70,00"
31/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 70,00"
01/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 70,00"
02/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 70,00"
06/04/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 70,00"
16/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
17/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 47,00"
18/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 47,00"
19/03/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 47,00"
20/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
23/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
24/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
25/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
26/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
27/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
30/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
31/03/2015,Abacate,SALVADOR,Médio,cento,"R$ 111,00"
01/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 141,00"
02/04/2015,Abacate,SALVADOR,Médio,cento,"R$ 141,00"
